change_month,new_addition,account_code
2021-01-01,,478011
2021-01-01, ,9167
2021-01-01,advanced-dvr,23027
2021-01-01,advanced-dvr-1000,3848
2021-01-01,advanced-dvr-250,58432
2021-01-01,adventure,6523
2021-01-01,amc-premiere,3098
2021-01-01,cycling,144
2021-01-01,deportes,73349
2021-01-01,english,37
2021-01-01,entertainment,1767
2021-01-01,entertainment-preview,405
2021-01-01,epix,2590
2021-01-01,extra,414
2021-01-01,fubo-extra-lite,24687
2021-01-01,fubo-extra-lite-preview,1404
2021-01-01,intl-sports-plus,9303
2021-01-01,latino,2010
2021-01-01,lifestyle,118
2021-01-01,mundo,333
2021-01-01,music,2
2021-01-01,news,1
2021-01-01,portuguese,1116
2021-01-01,portuguese_plus,115
2021-01-01,premiere,643
2021-01-01,raiitalia,1597
2021-01-01,rsn-fee,14100
2021-01-01,showtime,6595
2021-01-01,showtime-preview,29
2021-01-01,spanish,325
2021-01-01,starz,3387
2021-01-01,third-screen,18879
2021-01-01,tv5-monde,576
2021-01-01,unlimited-screen-home,10182
2021-02-01,,473005
2021-02-01, ,9384
2021-02-01,advanced-dvr,21992
2021-02-01,advanced-dvr-1000,4230
2021-02-01,advanced-dvr-250,63711
2021-02-01,adventure,6791
2021-02-01,amc-premiere,2932
2021-02-01,cycling,33
2021-02-01,deportes,58032
2021-02-01,english,34
2021-02-01,entertainment,1716
2021-02-01,entertainment-preview,360
2021-02-01,entertainment-v2,26
2021-02-01,epix,2545
2021-02-01,extra,385
2021-02-01,fubo-extra-lite,25157
2021-02-01,fubo-extra-lite-preview,1289
2021-02-01,intl-sports-plus,9315
2021-02-01,latino,1964
2021-02-01,lifestyle,112
2021-02-01,mundo,332
2021-02-01,music,1
2021-02-01,portuguese,1108
2021-02-01,portuguese_plus,112
2021-02-01,premiere,612
2021-02-01,raiitalia,1553
2021-02-01,rsn-fee,18257
2021-02-01,showtime,6435
2021-02-01,showtime-preview,30
2021-02-01,spanish,320
2021-02-01,starz,3689
2021-02-01,starz-epix-showtime,732
2021-02-01,third-screen,20882
2021-02-01,tv5-monde,551
2021-02-01,unlimited-screen-home,10700
2021-03-01,,451566
2021-03-01, ,8953
2021-03-01,advanced-dvr,20996
2021-03-01,advanced-dvr-1000,4510
2021-03-01,advanced-dvr-250,63508
2021-03-01,adventure,6954
2021-03-01,amc-premiere,2851
2021-03-01,cycling,38
2021-03-01,deportes,44574
2021-03-01,english,34
2021-03-01,entertainment,1604
2021-03-01,entertainment-preview,341
2021-03-01,entertainment-v2,117
2021-03-01,epix,1997
2021-03-01,extra,365
2021-03-01,fubo-extra-lite,26183
2021-03-01,fubo-extra-lite-preview,1146
2021-03-01,intl-sports-plus,9282
2021-03-01,latino,1983
2021-03-01,lifestyle,108
2021-03-01,mundo,334
2021-03-01,music,1
2021-03-01,portuguese,1137
2021-03-01,portuguese_plus,112
2021-03-01,premiere,594
2021-03-01,raiitalia,1552
2021-03-01,rsn-fee,51141
2021-03-01,showtime,5759
2021-03-01,showtime-preview,26
2021-03-01,spanish,315
2021-03-01,starz,2980
2021-03-01,starz-epix-showtime,2004
2021-03-01,third-screen,21251
2021-03-01,tv5-monde,554
2021-03-01,unlimited-screen-home,10858
2021-04-01,,434081
2021-04-01, ,8538
2021-04-01,advanced-dvr,20122
2021-04-01,advanced-dvr-1000,4750
2021-04-01,advanced-dvr-250,64056
2021-04-01,adventure,7081
2021-04-01,amc-premiere,2826
2021-04-01,cycling,43
2021-04-01,deportes,39495
2021-04-01,english,33
2021-04-01,entertainment,1604
2021-04-01,entertainment-preview,335
2021-04-01,entertainment-v2,170
2021-04-01,epix,1752
2021-04-01,extra,370
2021-04-01,fubo-extra-lite,26990
2021-04-01,fubo-extra-lite-preview,1072
2021-04-01,intl-sports-plus,9479
2021-04-01,latino,1994
2021-04-01,lifestyle,107
2021-04-01,mundo,329
2021-04-01,music,1
2021-04-01,portuguese,1151
2021-04-01,portuguese_plus,111
2021-04-01,premiere,590
2021-04-01,raiitalia,1560
2021-04-01,rsn-fee,86214
2021-04-01,showtime,5330
2021-04-01,showtime-preview,29
2021-04-01,spanish,307
2021-04-01,starz,2596
2021-04-01,starz-epix-showtime,3027
2021-04-01,third-screen,20784
2021-04-01,tv5-monde,594
2021-04-01,unlimited-screen-home,11566
2021-05-01,,424699
2021-05-01, ,14363
2021-05-01,advanced-dvr,19509
2021-05-01,advanced-dvr-1000,4951
2021-05-01,advanced-dvr-250,64684
2021-05-01,adventure,7201
2021-05-01,amc-premiere,2811
2021-05-01,cycling,42
2021-05-01,deportes,36722
2021-05-01,english,33
2021-05-01,entertainment,1548
2021-05-01,entertainment-preview,334
2021-05-01,entertainment-v2,231
2021-05-01,epix,1547
2021-05-01,extra,385
2021-05-01,fubo-extra-lite,27075
2021-05-01,fubo-extra-lite-preview,1015
2021-05-01,intl-sports-plus,10156
2021-05-01,latino,2078
2021-05-01,lifestyle,105
2021-05-01,mundo,327
2021-05-01,music,1
2021-05-01,portuguese,1164
2021-05-01,portuguese_plus,108
2021-05-01,premiere,564
2021-05-01,raiitalia,1647
2021-05-01,rsn-fee,99205
2021-05-01,showtime,5080
2021-05-01,showtime-preview,31
2021-05-01,spanish,302
2021-05-01,starz,2323
2021-05-01,starz-epix-showtime,3748
2021-05-01,third-screen,20389
2021-05-01,tv5-monde,653
2021-05-01,unlimited-screen-home,11947
2021-06-01,,465795
2021-06-01, ,10066
2021-06-01,advanced-dvr,18860
2021-06-01,advanced-dvr-1000,5453
2021-06-01,advanced-dvr-250,66244
