change_month,nonbundle_addons,account_code
1/1/21,advanced-dvr,11215
1/1/21,advanced-dvr-1000,3508
1/1/21,advanced-dvr-250,56869
1/1/21,adventure,6088
1/1/21,amc-premiere,2725
1/1/21,cycling,117
1/1/21,deportes,69876
1/1/21,entertainment,1336
1/1/21,entertainment-preview,146
1/1/21,epix,2365
1/1/21,extra,341
1/1/21,fubo-extra-lite,22192
1/1/21,fubo-extra-lite-preview,848
1/1/21,intl-sports-plus,8718
1/1/21,latino,1606
1/1/21,mundo,157
1/1/21,music,1
1/1/21,portuguese,772
1/1/21,premiere,540
1/1/21,raiitalia,1289
1/1/21,showtime,5213
1/1/21,showtime-preview,26
1/1/21,starz,3170
1/1/21,third-screen,13355
1/1/21,tv5-monde,424
1/1/21,unlimited-screen-home,9532
2/1/21,advanced-dvr,10356
2/1/21,advanced-dvr-1000,3739
2/1/21,advanced-dvr-250,59758
2/1/21,adventure,6351
2/1/21,amc-premiere,2548
2/1/21,cycling,11
2/1/21,deportes,55213
2/1/21,entertainment,1292
2/1/21,entertainment-preview,121
2/1/21,entertainment-v2,21
2/1/21,epix,2307
2/1/21,extra,310
2/1/21,fubo-extra-lite,22566
2/1/21,fubo-extra-lite-preview,782
2/1/21,intl-sports-plus,8728
2/1/21,latino,1560
2/1/21,mundo,155
2/1/21,music,1
2/1/21,portuguese,764
2/1/21,premiere,511
2/1/21,raiitalia,1238
2/1/21,showtime,5068
2/1/21,showtime-preview,28
2/1/21,starz,3455
2/1/21,starz-epix-showtime,699
2/1/21,third-screen,12519
2/1/21,tv5-monde,393
2/1/21,unlimited-screen-home,9913
3/1/21,advanced-dvr,9567
3/1/21,advanced-dvr-1000,3944
3/1/21,advanced-dvr-250,58512
3/1/21,adventure,6504
3/1/21,amc-premiere,2456
3/1/21,cycling,12
3/1/21,deportes,42188
3/1/21,entertainment,1196
3/1/21,entertainment-preview,110
3/1/21,entertainment-v2,99
3/1/21,epix,1787
3/1/21,extra,289
3/1/21,fubo-extra-lite,23533
3/1/21,fubo-extra-lite-preview,694
3/1/21,intl-sports-plus,8653
3/1/21,latino,1570
3/1/21,mundo,149
3/1/21,music,1
3/1/21,portuguese,787
3/1/21,premiere,493
3/1/21,raiitalia,1224
3/1/21,showtime,4451
3/1/21,showtime-preview,23
3/1/21,starz,2756
3/1/21,starz-epix-showtime,1902
3/1/21,third-screen,11784
3/1/21,tv5-monde,382
3/1/21,unlimited-screen-home,9981
4/1/21,advanced-dvr,9057
4/1/21,advanced-dvr-1000,4155
4/1/21,advanced-dvr-250,59053
4/1/21,adventure,6643
4/1/21,amc-premiere,2432
4/1/21,cycling,16
4/1/21,deportes,37341
4/1/21,entertainment,1210
4/1/21,entertainment-preview,104
4/1/21,entertainment-v2,136
4/1/21,epix,1560
4/1/21,extra,299
4/1/21,fubo-extra-lite,24447
4/1/21,fubo-extra-lite-preview,646
4/1/21,intl-sports-plus,8857
4/1/21,latino,1589
4/1/21,mundo,146
4/1/21,music,1
4/1/21,portuguese,808
4/1/21,premiere,493
4/1/21,raiitalia,1232
4/1/21,showtime,4087
4/1/21,showtime-preview,26
4/1/21,starz,2392
4/1/21,starz-epix-showtime,2865
4/1/21,third-screen,11365
4/1/21,tv5-monde,423
4/1/21,unlimited-screen-home,10645
5/1/21,advanced-dvr,8721
5/1/21,advanced-dvr-1000,4247
5/1/21,advanced-dvr-250,59801
5/1/21,adventure,6768
5/1/21,amc-premiere,2417
5/1/21,cycling,16
5/1/21,deportes,34686
5/1/21,entertainment,1165
5/1/21,entertainment-preview,106
5/1/21,entertainment-v2,183
5/1/21,epix,1362
5/1/21,extra,313
5/1/21,fubo-extra-lite,24530
5/1/21,fubo-extra-lite-preview,615
5/1/21,intl-sports-plus,9499
5/1/21,latino,1669
5/1/21,mundo,142
5/1/21,music,1
5/1/21,portuguese,821
5/1/21,premiere,472
5/1/21,raiitalia,1323
5/1/21,showtime,3887
5/1/21,showtime-preview,28
5/1/21,starz,2134
5/1/21,starz-epix-showtime,3573
5/1/21,third-screen,11122
5/1/21,tv5-monde,479
5/1/21,unlimited-screen-home,10916
6/1/21,advanced-dvr,8369
6/1/21,advanced-dvr-1000,4584
6/1/21,advanced-dvr-250,61149
6/1/21,adventure,7027
6/1/21,amc-premiere,2494
6/1/21,cycling,14
6/1/21,deportes,34069
6/1/21,entertainment,1188
6/1/21,entertainment-preview,104
6/1/21,entertainment-v2,706
6/1/21,epix,1270
6/1/21,extra,344
6/1/21,fubo-extra-lite,24934
6/1/21,fubo-extra-lite-preview,568
6/1/21,intl-sports-plus,15907
6/1/21,latino,1826
6/1/21,mundo,138
6/1/21,music,1
6/1/21,portuguese,857
6/1/21,premiere,554
6/1/21,raiitalia,1391
6/1/21,showtime,3844
6/1/21,showtime-preview,28
6/1/21,starz,1963
6/1/21,starz-epix-showtime,4262
6/1/21,third-screen,10925
6/1/21,tv5-monde,547
6/1/21,unlimited-screen-home,11805
7/1/21,advanced-dvr,7925
7/1/21,advanced-dvr-1000,4886
7/1/21,advanced-dvr-250,55937
7/1/21,adventure,7190
7/1/21,amc-premiere,2546
7/1/21,cycling,13
7/1/21,deportes,32645
7/1/21,entertainment,1149
7/1/21,entertainment-preview,104
7/1/21,entertainment-v2,750
7/1/21,epix,1173
7/1/21,extra,371
7/1/21,fubo-extra-lite,24663
7/1/21,fubo-extra-lite-preview,523
7/1/21,intl-sports-plus,16519
7/1/21,latino,1868
7/1/21,mundo,135
7/1/21,music,1
7/1/21,portuguese,884
7/1/21,premiere,635
7/1/21,raiitalia,1430
7/1/21,showtime,3728
7/1/21,showtime-preview,28
7/1/21,sports-lite,68
7/1/21,starz,1927
7/1/21,starz-epix-showtime,4936
7/1/21,third-screen,10597
7/1/21,tv5-monde,554
7/1/21,unlimited-screen-home,12394
8/1/21,advanced-dvr,7552
